ForestArea,GridID
1785.7071000000,3271
757.5715870000,3272
1745.7616820000,3273
2062.6509840000,3274
1889.8439060000,3275
828.7611290000,3276
48.4814660000,3335
689.9356470000,3336
1659.8325620000,3337
2052.5858460000,3338
1939.3044410000,3339
934.3087970000,3340
950.3945330000,3341
1269.7171240000,3342
1413.3972910000,3343
497.7018350000,3391
1150.3138950000,3392
1061.9069340000,3393
1419.5488910000,3394
2130.0266860000,3395
1401.7418490000,3396
845.1603400000,3397
1016.1346110000,3398
716.8558080000,3399
832.6949800000,3438
1156.6852230000,3439
875.7454180000,3440
842.9829900000,3441
2102.7606020000,3442
1573.7285980000,3443
1431.8656870000,3444
1003.8152850000,3445
988.0862170000,3446
362.5591140000,3447
472.9172530000,3448
131.3562080000,3449
159.6700240000,3450
406.8995830000,3490
1317.9162020000,3491
1073.6196420000,3492
1123.8460860000,3493
779.1140770000,3494
263.2014220000,3495
375.6152260000,3496
1263.6466010000,3497
1058.8087750000,3498
1081.6165810000,3499
707.0130280000,3500
415.3882880000,3501
294.8459240000,3502
895.8357510000,3538
1893.4582310000,3539
2086.8635270000,3540
1930.3373270000,3541
615.0632710000,3542
426.8459240000,3543
1009.7781270000,3544
1093.6376810000,3545
516.2165900000,3546
116.8718380000,3547
368.9531890000,3548
1595.5506360000,3549
1657.4223720000,3550
731.4732440000,3577
1431.4210370000,3578
2046.0102320000,3579
1933.4886710000,3580
1790.0513500000,3581
314.1397920000,3582
14.5163230000,3583
9.7905760000,3584
47.5693810000,3585
53.3451260000,3586
68.4011380000,3587
479.1399620000,3588
1225.2176860000,3589
219.5171420000,3616
1337.2942850000,3617
1916.2900240000,3618
1910.3783920000,3619
1894.4367940000,3620
2048.9354980000,3621
1647.2109100000,3622
311.1321510000,3623
28.2334820000,3624
37.9820800000,3625
36.9838000000,3626
86.5313340000,3627
61.2769190000,3628
197.2062870000,3629
210.6383420000,3630
750.1082820000,3661
1681.5038400000,3662
1948.1888800000,3663
1882.7566870000,3664
1968.7270620000,3665
1999.9729990000,3666
1898.1092590000,3667
247.5058270000,3668
145.3173490000,3669
182.1086510000,3670
236.3228150000,3695
1252.0923090000,3696
1912.1575350000,3697
1918.9447630000,3698
1788.8509570000,3699
1907.7908680000,3700
1984.6668470000,3701
1599.1758930000,3702
124.5759580000,3724
397.9446290000,3725
732.9568510000,3726
916.6035040000,3727
1532.6852960000,3728
1392.3746220000,3729
1585.0470020000,3730
1740.2163180000,3731
1237.1233260000,3732
313.3818850000,3750
896.9914850000,3751
1603.7433640000,3752
1005.8797650000,3753
643.4345340000,3754
310.1527350000,3755
1067.8931530000,3772
41.4391620000,1271
20.3464140000,1272
56.6578050000,1273
37.9927640000,1274
60.0757950000,1275
523.9098880000,1354
7.4916920000,1355
19.2469430000,1356
39.7174880000,1357
44.2068470000,1358
9.8560340000,1359
5.5368640000,1360
25.2669410000,1361
25.9073520000,1362
155.9823030000,1437
3.9484710000,1438
3.1392420000,1439
45.9841620000,1440
36.8015600000,1441
16.4959940000,1442
2.6359170000,1443
0.8404880000,1444
3.9212700000,1445
17.3976790000,1446
36.3512590000,1447
7.3689120000,1448
15.1859640000,1449
47.9337920000,1450
14.2922570000,1451
2248.6540500000,1508
2280.3701640000,1509
1690.7586890000,1510
1222.8561440000,1511
1004.7551260000,1512
1118.2751310000,1513
1712.5733390000,1516
1456.5747710000,1517
2017.8039400000,1518
1231.3798710000,1519
325.2251410000,1520
82.7428600000,1521
5.9507560000,1522
21.4206090000,1523
11.9352350000,1524
21.8713000000,1525
8.5626740000,1526
6.3688050000,1527
3.1845580000,1528
41.9910080000,1529
23.7580960000,1530
22.3008130000,1531
2.1971760000,1532
4.9560980000,1533
6.6234670000,1534
3.5883570000,1535
0.0000000000,1583
19.0846850000,1584
324.7047180000,1585
295.3825160000,1586
80.5492280000,1587
289.7193860000,1588
238.4582240000,1589
146.8890300000,1590
1014.1717180000,1591
1800.8144390000,1592
547.6978370000,1593
950.5142830000,1594
164.6824630000,1595
150.9597640000,1596
