system:index,GridID,count,max,mean,median,min,sum,.geo
00000000000000000205,3762,21,338886.0,31809.761904761905,9813.0,5205.0,668005.0,"{""type"":""Polygon"",""coordinates"":[[[121.95000159084849,49.82000213842851],[122.0125014876769,49.820002169378775],[122.0750014431852,49.820002157760655],[122.13750131840587,49.82000214276474],[122.20000108383732,49.82000212999497],[122.26250100833384,49.82000211934234],[122.32500095356602,49.82000214993441],[122.38750073068786,49.82000210280688],[122.45000065959398,49.82000213566844],[122.45000060498221,50.32000111790706],[122.38750083472361,50.32000115169587],[122.32500083199048,50.3200011579055],[122.26250092713934,50.32000112506409],[122.20000111826229,50.32000114532875],[122.1375012421335,50.320001185005275],[122.07500135746523,50.32000114170078],[122.01250154266936,50.320001170239664],[121.9500016657403,50.320001139376146],[121.95000159084849,49.82000213842851]]]}"
00000000000000000206,3763,68,1109756.0,36395.205882352944,11696.388888888889,5186.0,2474874.0,"{""type"":""Polygon"",""coordinates"":[[[122.45000065959398,49.82000213566844],[122.51250055143943,49.82000212945671],[122.57500045746784,49.82000215150261],[122.63750026862068,49.820002145126026],[122.70000014567597,49.82000214308128],[122.76250006012033,49.82000215043829],[122.82499990274373,49.82000211056831],[122.88749980666404,49.820002152134286],[122.94999958194614,49.82000215690108],[122.94999956679716,50.32000113325208],[122.88749977419009,50.32000113780153],[122.8249998298065,50.32000114906003],[122.76250006366418,50.320001154235065],[122.7000002005728,50.320001156088054],[122.63750026814758,50.32000114944165],[122.57500029409204,50.32000112915162],[122.51250049791102,50.32000111803295],[122.45000060498221,50.32000111790706],[122.45000065959398,49.82000213566844]]]}"
00000000000000000207,3764,14,26542.0,10107.0,7238.5,5203.0,141498.0,"{""type"":""Polygon"",""coordinates"":[[[122.94999958194614,49.82000215690108],[123.01249949921417,49.82000212199028],[123.07499931230444,49.82000212215808],[123.13749929250231,49.82000215399883],[123.19999914021713,49.82000213456156],[123.26249901771826,49.820002095248086],[123.32499886997634,49.82000213753026],[123.38749880549155,49.82000213447992],[123.44999868766116,49.82000212629397],[123.44999863606412,50.32000112316169],[123.38749874602082,50.32000118621427],[123.32499892909807,50.32000115340271],[123.26249907436952,50.32000115308964],[123.1999991260315,50.3200011185305],[123.13749927582063,50.32000116869062],[123.07499938577128,50.320001174916364],[123.01249948313018,50.320001132292994],[122.94999956679716,50.32000113325208],[122.94999958194614,49.82000215690108]]]}"
00000000000000000208,3765,34,32463.0,9802.588235294117,7529.5,5210.0,333288.0,"{""type"":""Polygon"",""coordinates"":[[[123.44999868766116,49.82000212629397],[123.51249897938251,49.82000213362471],[123.57499946262561,49.820002135048334],[123.63749991908593,49.820002109711474],[123.70000040372031,49.820002123411655],[123.76250080698216,49.82000212003934],[123.82500118422234,49.82000216533669],[123.88750164309715,49.820002131441846],[123.95000213057656,49.82000211963009],[123.95000216615783,50.32000114347527],[123.8875016184072,50.32000117073557],[123.82500123628897,50.32000112729794],[123.7625007993625,50.320001178815254],[123.70000038677864,50.32000112558654],[123.6374999715001,50.32000115807281],[123.57499952326563,50.320001112625846],[123.51249912471395,50.32000114362172],[123.44999863606412,50.32000112316169],[123.44999868766116,49.82000212629397]]]}"
00000000000000000209,3766,18,56293.0,11036.388888888889,7811.0,5209.0,198655.0,"{""type"":""Polygon"",""coordinates"":[[[123.95000213057656,49.82000211963009],[124.01250201961437,49.82000215778783],[124.07500180045484,49.820002167628516],[124.13750174638258,49.82000214198761],[124.20000161370324,49.82000215783275],[124.26250140098762,49.82000212313301],[124.32500135694372,49.820002126764486],[124.38750126337149,49.82000214923428],[124.45000101018961,49.82000213497529],[124.45000108578778,50.320001155207564],[124.38750116048253,50.320001157909644],[124.32500138871147,50.32000114989984],[124.26250149178817,50.32000113979591],[124.20000157963618,50.32000118392968],[124.13750170331443,50.32000118025731],[124.07500188868802,50.32000112443987],[124.01250202575837,50.32000114622524],[123.95000216615783,50.32000114347527],[123.95000213057656,49.82000211963009]]]}"
0000000000000000020a,3767,25,44891.0,12063.76,7485.0,5178.0,301594.0,"{""type"":""Polygon"",""coordinates"":[[[124.45000101018961,49.82000213497529],[124.51250095526336,49.820002135644366],[124.57500088028468,49.820002132017905],[124.63750075907731,49.82000212858359],[124.70000056554092,49.82000212985833],[124.76250046619124,49.82000216325498],[124.82500035088209,49.8200021731109],[124.88750019364309,49.82000216380355],[124.95000007669782,49.82000210248977],[124.95000010379324,50.3200011554938],[124.88750024637682,50.32000113949919],[124.82500034168973,50.3200011464638],[124.76250052411658,50.320001134778565],[124.70000059941098,50.32000117505521],[124.63750072661585,50.32000112791074],[124.57500079682195,50.32000112411755],[124.51250094473573,50.32000112225206],[124.45000108578778,50.320001155207564],[124.45000101018961,49.82000213497529]]]}"
0000000000000000020b,3768,12,102241.0,20474.416666666668,11039.5,5812.0,245693.0,"{""type"":""Polygon"",""coordinates"":[[[124.95000007669782,49.82000210248977],[125.01250003557116,49.82000214999681],[125.07499979054568,49.82000213166426],[125.13749978661576,49.820002155790135],[125.19999952737405,49.82000212278546],[125.26249945848434,49.82000214033641],[125.32499927639245,49.82000213121757],[125.38749914891861,49.82000212130887],[125.44999905086843,49.82000211460452],[125.44999906807853,50.32000114194469],[125.38749918640563,50.32000114951923],[125.32499927958814,50.32000113700009],[125.26249945829042,50.32000116031254],[125.19999966059542,50.32000115569428],[125.13749971571832,50.320001096990616],[125.07499990618813,50.32000116018449],[125.01249999865142,50.32000116103472],[124.95000010379324,50.3200011554938],[124.95000007669782,49.82000210248977]]]}"
0000000000000000020c,3769,36,243163.0,35769.666666666664,9874.0,5188.0,1287708.0,"{""type"":""Polygon"",""coordinates"":[[[125.44999905086843,49.82000211460452],[125.51249895711662,49.820002115125874],[125.57499884260659,49.82000212692126],[125.63749868235043,49.820002154065904],[125.69999855914003,49.82000216250906],[125.76249844801725,49.82000215615371],[125.82499832409094,49.82000213892938],[125.88749816253666,49.820002114791976],[125.94999802499119,49.82000214644784],[125.94999805645143,50.32000113564867],[125.88749824384497,50.32000115499855],[125.82499832233718,50.3200011470544],[125.7624985120723,50.320001128682634],[125.69999861880156,50.32000117337412],[125.63749879756593,50.32000114075197],[125.5749988544283,50.32000110386748],[125.51249898687972,50.32000117796685],[125.44999906807853,50.32000114194469],[125.44999905086843,49.82000211460452]]]}"
0000000000000000020d,3770,1,5786.0,5786.0,5786.0,5786.0,5786.0,"{""type"":""Polygon"",""coordinates"":[[[125.94999802499119,49.82000214644784],[126.01249851123265,49.82000210373886],[126.07499897264918,49.8200021236173],[126.13749940573634,49.82000211274001],[126.19999987270343,49.8200021334424],[126.26250026239487,49.82000213101025],[126.32500074470154,49.82000212880137],[126.38750110096532,49.820002111030746],[126.4500015885819,49.82000215905692],[126.45000149314559,50.32000113159706],[126.38750111148904,50.32000115515951],[126.3250007376025,50.32000116117115],[126.26250019823725,50.320001126379786],[126.1999998015555,50.320001125724396],[126.1374993742462,50.32000113591233],[126.07499893980987,50.32000115326628],[126.01249852180946,50.320001174133104],[125.94999805645143,50.32000113564867],[125.94999802499119,49.82000214644784]]]}"
0000000000000000020e,3771,13,38728.0,13830.461538461539,10982.0,5788.0,179796.0,"{""type"":""Polygon"",""coordinates"":[[[126.4500015885819,49.82000215905692],[126.51250142535473,49.82000210283962],[126.57500134517144,49.8200021202929],[126.63750123682173,49.82000215681524],[126.70000109584353,49.82000211872708],[126.76250096642703,49.82000216491615],[126.82500075638399,49.820002143690786],[126.88750072449349,49.82000213472831],[126.95000054518933,49.8200021627203],[126.95000055653797,50.320001105579024],[126.88750064310126,50.32000116048324],[126.8250007689163,50.320001146689705],[126.76250093759023,50.32000115915485],[126.70000108323647,50.32000113612928],[126.63750120916066,50.32000117236486],[126.57500126971472,50.32000110762844],[126.51250144511913,50.32000115384348],[126.45000149314559,50.32000113159706],[126.4500015885819,49.82000215905692]]]}"
00000000000000000211,3774,0,,,,,0.0,"{""type"":""Polygon"",""coordinates"":[[[119.95000111209359,50.32000114930329],[120.01250102222176,50.32000114091639],[120.07500094708752,50.320001153487745],[120.13750077861187,50.32000112833819],[120.20000067269383,50.320001104547956],[120.26250048666478,50.32000111989002],[120.32500041161722,50.32000111659233],[120.38750030508002,50.320001132434285],[120.4500001359141,50.32000117342488],[120.45000009878787,50.82000013586715],[120.38750029127925,50.82000011767853],[120.32500045750088,50.8200001399358],[120.26250054978266,50.82000013174904],[120.20000067603034,50.82000015243165],[120.13750078903546,50.82000013106135],[120.07500088395882,50.82000015910076],[120.01250102672242,50.82000013348378],[119.95000121241051,50.8200001457101],[119.95000111209359,50.32000114930329]]]}"
00000000000000000212,3775,34,48499.0,11784.85294117647,8276.0,5132.0,400685.0,"{""type"":""Polygon"",""coordinates"":[[[120.4500001359141,50.32000117342488],[120.51250001819791,50.32000111685105],[120.57499996406239,50.32000112942607],[120.63749986555639,50.3200011526184],[120.69999961432917,50.32000112815903],[120.76249955696869,50.32000112551346],[120.82499936319131,50.32000115112622],[120.88749922468286,50.320001145759],[120.94999911099512,50.32000111505486],[120.94999919247773,50.820000141936454],[120.88749935787517,50.82000014957437],[120.82499940651199,50.82000011288958],[120.76249952525416,50.820000155497866],[120.6999996985958,50.8200001097882],[120.63749980962977,50.82000010040441],[120.57499988783415,50.820000121632404],[120.51250007538479,50.8200001352995],[120.45000009878787,50.82000013586715],[120.4500001359141,50.32000117342488]]]}"
00000000000000000213,3776,9,26226.0,9533.666666666666,7408.0,5718.0,85803.0,"{""type"":""Polygon"",""coordinates"":[[[120.94999911099512,50.32000111505486],[121.01249906999031,50.32000112862716],[121.07499888243584,50.32000116103168],[121.13749874024589,50.32000115234709],[121.19999869190487,50.32000117190477],[121.26249855037112,50.32000109773105],[121.32499841090703,50.32000115977191],[121.38749830847033,50.32000116989488],[121.44999821330175,50.32000113359162],[121.44999812954066,50.820000143397],[121.38749821166633,50.82000012488207],[121.32499844221822,50.82000013450988],[121.26249854499443,50.82000016985373],[121.19999858150182,50.820000127654936],[121.13749873963843,50.82000013109069],[121.0749988561571,50.82000014379155],[121.012499072417,50.820000127132765],[120.94999919247773,50.820000141936454],[120.94999911099512,50.32000111505486]]]}"
00000000000000000214,3777,65,68475.0,17211.73846153846,9128.0,4843.0,1118763.0,"{""type"":""Polygon"",""coordinates"":[[[121.44999821330175,50.32000113359162],[121.51249866604074,50.320001146591444],[121.57499906744502,50.320001123461545],[121.63749946748622,50.32000113316967],[121.69999994799919,50.320001147543145],[121.76250028949656,50.32000114232426],[121.82500076421546,50.32000111883182],[121.88750123252696,50.32000111605462],[121.9500016657403,50.320001139376146],[121.9500015459227,50.8200001329771],[121.88750121081596,50.820000131210726],[121.82500071959325,50.82000013501389],[121.76250029301018,50.82000016865774],[121.69999987821326,50.82000016326717],[121.63749950332048,50.82000011366583],[121.57499905218614,50.820000146269706],[121.51249858481384,50.82000015794758],[121.44999812954066,50.820000143397],[121.44999821330175,50.32000113359162]]]}"
00000000000000000215,3778,14,35969.0,11478.0,8568.5,5124.0,160692.0,"{""type"":""Polygon"",""coordinates"":[[[121.9500016657403,50.320001139376146],[122.01250154266936,50.320001170239664],[122.07500135746523,50.32000114170078],[122.1375012421335,50.320001185005275],[122.20000111826229,50.32000114532875],[122.26250092713934,50.32000112506409],[122.32500083199048,50.3200011579055],[122.38750083472361,50.32000115169587],[122.45000060498221,50.32000111790706],[122.45000062272047,50.82000015409371],[122.38750074480708,50.820000109897684],[122.32500087909438,50.82000017088859],[122.26250100097515,50.820000170854875],[122.2000011378824,50.82000010477793],[122.13750125583405,50.82000016352559],[122.07500144336504,50.820000146217204],[122.01250150384061,50.820000116614445],[121.9500015459227,50.8200001329771],[121.9500016657403,50.320001139376146]]]}"
