GridID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3774,270933.0,2.92213926E8,3490730.0,3115854.0,3387925.0,2886587.0,4467524.0,6368327.0,3002250.0,1350317.0,1727230.0,2263438.0,1.6692018E7,1369338.0,699064.0,570954.0,727181.0,456193.0,1697357.0,2664408.0,869828.0,1112309.0,528001.0,871352.0,413171.0,570121.0,1406338.0,5674179.0,2055206.0,285678.0,128892.0,42733.0,85771.0,,1701915.0,42934.0
3775,1328065.0,2.62404454E8,1.33018276E8,1.1017941E7,1.1109234E7,1.0813313E7,1.5568303E7,1.7334001E7,1.3893303E7,1.1800205E7,1.3060743E7,1.5294278E7,1.7660083E7,1.2275482E7,9455921.0,1.327878E7,7061472.0,4970735.0,8143843.0,8385629.0,6432445.0,5513252.0,2915628.0,4969507.0,4136959.0,3174460.0,3189557.0,3058590.0,2.4087436E7,1013191.0,1299841.0,251839.0,114250.0,142897.0,1056801.0,1585607.0
3776,2635353.0,4.32427034E8,9.6023904E7,1.6118869E7,1.6504524E7,1.6700658E7,1.8908545E7,1.8443387E7,1.8833059E7,2.1078838E7,2.0648454E7,2.0803756E7,1.9611276E7,1.7277145E7,1.536606E7,2.3397765E7,1.2503743E7,1.0430698E7,1.3904255E7,1.0655638E7,6937475.0,8809113.0,5799199.0,5801818.0,5813222.0,5287608.0,5951086.0,3349713.0,8.7458611E7,3749947.0,399923.0,286766.0,243303.0,28619.0,1143778.0,1510005.0
3777,2234080.0,3.24455279E8,4.2885784E7,1.5879817E7,1.4367143E7,1.7173167E7,1.6537019E7,1.7962872E7,2.0557105E7,2.1485317E7,2.424447E7,2.7886058E7,2.3069355E7,2.3088561E7,2.1875284E7,2.6805299E7,8097592.0,1.6384237E7,1.6959088E7,9450202.0,9159352.0,1.04872E7,6459170.0,1.2142978E7,5042254.0,5405877.0,8273273.0,5513762.0,7.5919524E7,8424033.0,599605.0,375577.0,615479.0,296849.0,2442851.0,2039876.0
3778,1629352.0,1.23162004E8,4.7950186E7,2.8238724E7,1.4449796E7,3.2217502E7,1.5541881E7,2.4021882E7,2.5424656E7,3.2650162E7,3.0059892E7,2.6600393E7,2.762555E7,2.3771439E7,1.7603799E7,1.0705396E7,3384935.0,9808744.0,1.3184245E7,5527202.0,4362250.0,5122178.0,3519120.0,8040525.0,3405347.0,4191636.0,5240683.0,3782256.0,1.6254432E7,3453764.0,600198.0,1198398.0,714146.0,946703.0,2004027.0,1078556.0
3779,3463792.0,2.12209272E8,3.2188026E7,3.1330439E7,2.2406213E7,3.9481865E7,1.8482066E7,3.0057837E7,2.3657129E7,2.7557898E7,2.9191817E7,3.1664975E7,2.7640117E7,4.1266083E7,1.3432074E7,2.087371E7,1.1350251E7,1.3449831E7,8.6369376E7,4874735.0,3310678.0,5683628.0,3765899.0,6218937.0,3819007.0,5188052.0,1.0702494E7,8806607.0,1.5861904E7,658204.0,471951.0,931291.0,286474.0,1571671.0,4961635.0,858389.0
3780,3261991.0,2.40446247E8,2.7453797E7,2.3464626E7,1.8142731E7,2.4103346E7,2.2409419E7,3.5314281E7,2.6295025E7,3.0606183E7,3.2095519E7,4.4323618E7,2.4775603E7,4.7017906E7,2.6057304E7,2.964967E7,1.7420628E7,4.4256124E7,8.9319225E7,2272833.0,2258911.0,2374477.0,1457883.0,2019527.0,3445392.0,1717982.0,4962563.0,6844733.0,1275718.0,571702.0,615448.0,1171321.0,214707.0,1516080.0,1499708.0,873175.0
3781,1358766.0,1.07406695E8,8671890.0,9087484.0,1.2792169E7,1.4897965E7,1.7148878E7,6.1566969E7,1.5273531E7,2.0820572E7,3.2739499E7,2.6288416E7,1.5617188E7,4.0942951E7,1.6644032E7,1.8900095E7,1.1984376E7,3.5350139E7,8764967.0,1328021.0,1070284.0,3441433.0,1371537.0,2898920.0,2685654.0,2454876.0,6585495.0,2742877.0,1669648.0,186056.0,356879.0,830633.0,342865.0,829598.0,885965.0,2144385.0
3782,842824.0,6.8696211E7,3488125.0,4218136.0,5316380.0,5286757.0,2.8663291E7,6.1127074E7,2.0017085E7,7480214.0,1.2426452E7,3.5376661E7,1.1283505E7,1.1212595E7,5285216.0,1.3461493E7,6070636.0,7055613.0,2842476.0,429059.0,556986.0,1498794.0,514447.0,599876.0,888870.0,542938.0,5034966.0,1743197.0,915684.0,256952.0,257754.0,286500.0,543391.0,329206.0,401072.0,1348182.0
3783,214377.0,4.1537527E7,1891753.0,1260388.0,1501767.0,1385454.0,9388854.0,5.247766E7,9518001.0,8898213.0,9061414.0,1.2052929E7,5302155.0,6467009.0,3743008.0,7290432.0,8051319.0,1.2878378E7,842745.0,286228.0,200570.0,372491.0,328754.0,629283.0,199787.0,143392.0,1081739.0,856005.0,675103.0,57504.0,100443.0,171840.0,57306.0,200682.0,443649.0,1043929.0
